iteration,current_cost,best_cost,elapsed_sec,accepted
0,422.38158739456253,422.38158739456253,0.0,True
1,422.38158739456253,422.38158739456253,0.002109527587890625,False
2,422.38158739456253,422.38158739456253,0.0035789012908935547,False
3,422.38158739456253,422.38158739456253,0.0053555965423583984,False
4,422.38158739456253,422.38158739456253,0.006871938705444336,False
5,422.38158739456253,422.38158739456253,0.008769750595092773,False
6,422.38158739456253,422.38158739456253,0.01033926010131836,False
7,422.38158739456253,422.38158739456253,0.011831521987915039,False
8,422.38158739456253,422.38158739456253,0.01347970962524414,False
9,422.38158739456253,422.38158739456253,0.014407873153686523,False
10,422.38158739456253,422.38158739456253,0.01548457145690918,False
11,422.38158739456253,422.38158739456253,0.017017364501953125,False
12,422.38158739456253,422.38158739456253,0.01854681968688965,False
13,422.38158739456253,422.38158739456253,0.02010345458984375,False
14,422.38158739456253,422.38158739456253,0.02116227149963379,False
15,422.38158739456253,422.38158739456253,0.022367477416992188,False
16,422.38158739456253,422.38158739456253,0.02351999282836914,False
17,422.38158739456253,422.38158739456253,0.024782180786132812,False
18,422.38158739456253,422.38158739456253,0.02748417854309082,False
19,422.38158739456253,422.38158739456253,0.029723644256591797,False
20,422.38158739456253,422.38158739456253,0.03385567665100098,False
21,422.38158739456253,422.38158739456253,0.03595614433288574,False
22,422.38158739456253,422.38158739456253,0.03863644599914551,False
23,422.38158739456253,422.38158739456253,0.042349815368652344,False
24,422.38158739456253,422.38158739456253,0.045842885971069336,False
25,422.38158739456253,422.38158739456253,0.04862642288208008,False
26,422.38158739456253,422.38158739456253,0.051799774169921875,False
27,422.38158739456253,422.38158739456253,0.053528547286987305,False
28,422.38158739456253,422.38158739456253,0.054579973220825195,False
29,422.38158739456253,422.38158739456253,0.05568075180053711,False
30,422.38158739456253,422.38158739456253,0.056969642639160156,False
31,422.38158739456253,422.38158739456253,0.05804848670959473,False
32,422.38158739456253,422.38158739456253,0.0593719482421875,False
33,422.38158739456253,422.38158739456253,0.06044912338256836,False
34,422.38158739456253,422.38158739456253,0.061559200286865234,False
35,422.38158739456253,422.38158739456253,0.06286096572875977,False
36,422.38158739456253,422.38158739456253,0.0638883113861084,False
37,422.38158739456253,422.38158739456253,0.06471037864685059,False
38,422.38158739456253,422.38158739456253,0.06607341766357422,False
39,422.38158739456253,422.38158739456253,0.06724381446838379,False
40,422.38158739456253,422.38158739456253,0.06819605827331543,False
41,422.38158739456253,422.38158739456253,0.06921601295471191,False
42,422.38158739456253,422.38158739456253,0.07108402252197266,False
43,422.38158739456253,422.38158739456253,0.07293152809143066,False
44,422.38158739456253,422.38158739456253,0.07402396202087402,False
45,422.38158739456253,422.38158739456253,0.07572078704833984,False
46,422.38158739456253,422.38158739456253,0.0771481990814209,False
47,422.38158739456253,422.38158739456253,0.07842373847961426,False
48,422.38158739456253,422.38158739456253,0.0798792839050293,False
49,422.38158739456253,422.38158739456253,0.0816195011138916,False
50,422.38158739456253,422.38158739456253,0.08455848693847656,False
51,422.38158739456253,422.38158739456253,0.08559012413024902,False
52,422.38158739456253,422.38158739456253,0.08759021759033203,False
53,422.38158739456253,422.38158739456253,0.08840751647949219,False
54,422.38158739456253,422.38158739456253,0.08951163291931152,False
55,422.38158739456253,422.38158739456253,0.09062337875366211,False
56,422.38158739456253,422.38158739456253,0.09154057502746582,False
57,422.38158739456253,422.38158739456253,0.09312725067138672,False
58,422.38158739456253,422.38158739456253,0.09394669532775879,False
59,422.38158739456253,422.38158739456253,0.09515666961669922,False
60,422.38158739456253,422.38158739456253,0.09622406959533691,False
61,422.38158739456253,422.38158739456253,0.09731650352478027,False
62,422.38158739456253,422.38158739456253,0.09887099266052246,False
63,422.38158739456253,422.38158739456253,0.09995174407958984,False
64,422.38158739456253,422.38158739456253,0.10078620910644531,False
65,422.38158739456253,422.38158739456253,0.10160112380981445,False
66,422.38158739456253,422.38158739456253,0.10254859924316406,False
67,422.38158739456253,422.38158739456253,0.10357809066772461,False
68,422.38158739456253,422.38158739456253,0.10463881492614746,False
69,422.38158739456253,422.38158739456253,0.1055145263671875,False
70,422.38158739456253,422.38158739456253,0.10712051391601562,False
71,422.38158739456253,422.38158739456253,0.10851049423217773,False
72,422.38158739456253,422.38158739456253,0.10976028442382812,False
73,422.38158739456253,422.38158739456253,0.11085176467895508,False
74,422.38158739456253,422.38158739456253,0.11214375495910645,False
75,422.38158739456253,422.38158739456253,0.11389517784118652,False
76,422.38158739456253,422.38158739456253,0.11608433723449707,False
77,422.38158739456253,422.38158739456253,0.11781787872314453,False
78,422.38158739456253,422.38158739456253,0.1201629638671875,False
79,422.38158739456253,422.38158739456253,0.12124919891357422,False
80,422.38158739456253,422.38158739456253,0.12232136726379395,False
81,422.38158739456253,422.38158739456253,0.12406253814697266,False
82,422.38158739456253,422.38158739456253,0.1250927448272705,False
83,422.38158739456253,422.38158739456253,0.1266939640045166,False
84,422.38158739456253,422.38158739456253,0.1276402473449707,False
85,422.38158739456253,422.38158739456253,0.12903618812561035,False
86,422.38158739456253,422.38158739456253,0.13065624237060547,False
87,422.38158739456253,422.38158739456253,0.13200116157531738,False
88,422.38158739456253,422.38158739456253,0.13285398483276367,False
89,422.38158739456253,422.38158739456253,0.13397836685180664,False
90,422.38158739456253,422.38158739456253,0.1350088119506836,False
91,422.38158739456253,422.38158739456253,0.1369016170501709,False
92,422.38158739456253,422.38158739456253,0.13799619674682617,False
93,422.38158739456253,422.38158739456253,0.13922929763793945,False
