iteration,current_cost,best_cost,elapsed_sec,accepted
0,712.0508124040543,712.0508124040543,0.0,True
1,712.0508124040543,712.0508124040543,0.03628039360046387,False
2,712.0508124040543,712.0508124040543,0.04839301109313965,False
3,710.4737145624312,710.4737145624312,0.05855298042297363,True
4,710.4737145624312,710.4737145624312,0.06943559646606445,False
5,710.4737145624312,710.4737145624312,0.08231735229492188,False
6,710.4737145624312,710.4737145624312,0.10486483573913574,False
7,710.4737145624312,710.4737145624312,0.11922574043273926,False
8,710.4737145624312,710.4737145624312,0.1318199634552002,False
9,710.4737145624312,710.4737145624312,0.14314031600952148,False
10,710.4737145624312,710.4737145624312,0.15623235702514648,False
11,710.4737145624312,710.4737145624312,0.1676621437072754,False
12,710.4737145624312,710.4737145624312,0.18305134773254395,False
13,710.4737145624312,710.4737145624312,0.19624066352844238,False
14,710.4737145624312,710.4737145624312,0.21144700050354004,False
15,710.4737145624312,710.4737145624312,0.22246980667114258,False
16,710.4737145624312,710.4737145624312,0.23465895652770996,False
17,710.4737145624312,710.4737145624312,0.25010061264038086,False
18,710.4737145624312,710.4737145624312,0.2633638381958008,False
19,710.4737145624312,710.4737145624312,0.2742946147918701,False
20,710.4737145624312,710.4737145624312,0.28511714935302734,False
21,710.4737145624312,710.4737145624312,0.3043251037597656,False
22,710.4737145624312,710.4737145624312,0.31757688522338867,False
23,710.4737145624312,710.4737145624312,0.32891321182250977,False
24,710.4737145624312,710.4737145624312,0.34062743186950684,False
25,710.4737145624312,710.4737145624312,0.3557708263397217,False
26,710.4737145624312,710.4737145624312,0.37311887741088867,False
27,710.4737145624312,710.4737145624312,0.3907291889190674,False
28,710.4737145624312,710.4737145624312,0.4021482467651367,False
29,710.4737145624312,710.4737145624312,0.4130535125732422,False
30,710.4737145624312,710.4737145624312,0.4303114414215088,False
31,710.4737145624312,710.4737145624312,0.45150113105773926,False
32,710.4737145624312,710.4737145624312,0.46469807624816895,False
33,710.4737145624312,710.4737145624312,0.4997110366821289,False
34,710.4737145624312,710.4737145624312,0.5120809078216553,False
35,710.4737145624312,710.4737145624312,0.5264697074890137,False
36,710.4737145624312,710.4737145624312,0.5391390323638916,False
37,710.4737145624312,710.4737145624312,0.5673074722290039,False
38,710.4737145624312,710.4737145624312,0.5787684917449951,False
39,710.4737145624312,710.4737145624312,0.6008269786834717,False
40,710.4737145624312,710.4737145624312,0.6127924919128418,False
41,710.4737145624312,710.4737145624312,0.6270747184753418,False
42,710.4737145624312,710.4737145624312,0.6396489143371582,False
43,710.4737145624312,710.4737145624312,0.650169849395752,False
44,710.4737145624312,710.4737145624312,0.6627192497253418,False
45,710.4737145624312,710.4737145624312,0.6770126819610596,False
46,710.4737145624312,710.4737145624312,0.6978163719177246,False
47,710.4737145624312,710.4737145624312,0.7193310260772705,False
48,710.4737145624312,710.4737145624312,0.7301397323608398,False
49,710.4737145624312,710.4737145624312,0.7460184097290039,False
50,710.4737145624312,710.4737145624312,0.7569613456726074,False
51,710.4737145624312,710.4737145624312,0.7674894332885742,False
52,710.4737145624312,710.4737145624312,0.781059980392456,False
53,710.4737145624312,710.4737145624312,0.7983710765838623,False
54,710.4737145624312,710.4737145624312,0.8104743957519531,False
55,710.4737145624312,710.4737145624312,0.8251767158508301,False
56,710.4737145624312,710.4737145624312,0.8413424491882324,False
57,710.4737145624312,710.4737145624312,0.8590691089630127,False
58,710.4737145624312,710.4737145624312,0.8695495128631592,False
59,710.4737145624312,710.4737145624312,0.8812525272369385,False
60,710.4737145624312,710.4737145624312,0.8925211429595947,False
