iteration,current_cost,best_cost,accepted,elapsed_sec,perturbation_type,accept_criterion
0,1386.8632533290836,1386.8632533290836,True,0.0,double_bridge,strict
1,1384.962389676759,1384.962389676759,True,1.4034497737884521,double_bridge,strict
2,1384.962389676759,1384.962389676759,False,1.7038462162017822,double_bridge,strict
3,1384.962389676759,1384.962389676759,False,1.9956061840057373,double_bridge,strict
4,1384.962389676759,1384.962389676759,False,2.2890923023223877,double_bridge,strict
5,1384.962389676759,1384.962389676759,False,2.6171231269836426,double_bridge,strict
6,1384.962389676759,1384.962389676759,False,2.947359085083008,double_bridge,strict
7,1384.748486062199,1384.748486062199,True,3.256239891052246,double_bridge,strict
8,1384.748486062199,1384.748486062199,False,3.5360116958618164,double_bridge,strict
9,1384.748486062199,1384.748486062199,False,3.847644329071045,double_bridge,strict
10,1384.748486062199,1384.748486062199,False,4.11968207359314,double_bridge,strict
11,1384.748486062199,1384.748486062199,False,4.400279998779297,double_bridge,strict
12,1384.748486062199,1384.748486062199,False,4.682242155075073,double_bridge,strict
13,1384.748486062199,1384.748486062199,False,5.007739782333374,double_bridge,strict
14,1384.748486062199,1384.748486062199,False,5.269672632217407,double_bridge,strict
15,1384.748486062199,1384.748486062199,False,5.54173469543457,double_bridge,strict
16,1384.748486062199,1384.748486062199,False,5.796010732650757,double_bridge,strict
17,1384.748486062199,1384.748486062199,False,6.078917503356934,double_bridge,strict
18,1383.5300065796982,1383.5300065796982,True,6.416674852371216,double_bridge,strict
19,1383.5300065796982,1383.5300065796982,False,6.705110549926758,double_bridge,strict
20,1383.5300065796982,1383.5300065796982,False,6.98401403427124,double_bridge,strict
21,1383.5300065796982,1383.5300065796982,False,7.304363965988159,double_bridge,strict
22,1383.5300065796982,1383.5300065796982,False,7.5889317989349365,double_bridge,strict
23,1383.5300065796982,1383.5300065796982,False,7.855371475219727,double_bridge,strict
24,1383.5300065796982,1383.5300065796982,False,8.155431509017944,double_bridge,strict
25,1383.5300065796982,1383.5300065796982,False,8.427115440368652,double_bridge,strict
26,1383.5300065796982,1383.5300065796982,False,8.676150560379028,double_bridge,strict
27,1383.5300065796982,1383.5300065796982,False,8.938321352005005,double_bridge,strict
28,1383.5300065796982,1383.5300065796982,False,9.187522888183594,double_bridge,strict
29,1383.5300065796982,1383.5300065796982,False,9.660061120986938,double_bridge,strict
30,1383.5300065796982,1383.5300065796982,False,9.911491870880127,double_bridge,strict
31,1383.5300065796982,1383.5300065796982,False,10.165725469589233,double_bridge,strict
32,1383.5300065796982,1383.5300065796982,False,10.41578722000122,double_bridge,strict
33,1383.5300065796982,1383.5300065796982,False,10.663249731063843,double_bridge,strict
34,1383.5300065796982,1383.5300065796982,False,10.921948909759521,double_bridge,strict
35,1383.5300065796982,1383.5300065796982,False,11.368497610092163,double_bridge,strict
36,1383.5300065796982,1383.5300065796982,False,11.607245445251465,double_bridge,strict
37,1383.5300065796982,1383.5300065796982,False,11.874653816223145,double_bridge,strict
38,1383.5300065796982,1383.5300065796982,False,12.120489597320557,double_bridge,strict
39,1383.5300065796982,1383.5300065796982,False,12.38434386253357,double_bridge,strict
40,1383.5300065796982,1383.5300065796982,False,12.700723886489868,double_bridge,strict
41,1383.5300065796982,1383.5300065796982,False,13.147287607192993,double_bridge,strict
42,1383.5300065796982,1383.5300065796982,False,13.40379285812378,double_bridge,strict
43,1383.5300065796982,1383.5300065796982,False,13.65588665008545,double_bridge,strict
44,1383.5300065796982,1383.5300065796982,False,13.915889024734497,double_bridge,strict
45,1383.5300065796982,1383.5300065796982,False,14.170355081558228,double_bridge,strict
46,1383.5300065796982,1383.5300065796982,False,14.446152687072754,double_bridge,strict
47,1383.5300065796982,1383.5300065796982,False,14.703388452529907,double_bridge,strict
48,1383.5300065796982,1383.5300065796982,False,14.962445259094238,double_bridge,strict
49,1383.5300065796982,1383.5300065796982,False,15.235913515090942,double_bridge,strict
50,1383.5300065796982,1383.5300065796982,False,15.496384859085083,double_bridge,strict
51,1383.1440450093367,1383.1440450093367,True,15.751774072647095,double_bridge,strict
52,1383.1440450093367,1383.1440450093367,False,16.017716646194458,double_bridge,strict
53,1383.1440450093367,1383.1440450093367,False,16.263708114624023,double_bridge,strict
54,1383.1440450093367,1383.1440450093367,False,16.542754411697388,double_bridge,strict
55,1383.1440450093367,1383.1440450093367,False,16.801194429397583,double_bridge,strict
56,1383.1440450093367,1383.1440450093367,False,17.07594585418701,double_bridge,strict
57,1383.1440450093367,1383.1440450093367,False,17.354755878448486,double_bridge,strict
58,1383.1440450093367,1383.1440450093367,False,17.644638776779175,double_bridge,strict
59,1383.1440450093367,1383.1440450093367,False,17.903555393218994,double_bridge,strict
60,1383.1440450093367,1383.1440450093367,False,18.161872148513794,double_bridge,strict
61,1383.1440450093367,1383.1440450093367,False,18.4157452583313,double_bridge,strict
62,1383.1440450093367,1383.1440450093367,False,18.681256532669067,double_bridge,strict
63,1383.1440450093367,1383.1440450093367,False,18.930999755859375,double_bridge,strict
64,1383.1440450093367,1383.1440450093367,False,19.177186489105225,double_bridge,strict
65,1383.1440450093367,1383.1440450093367,False,19.48779010772705,double_bridge,strict
66,1383.1440450093367,1383.1440450093367,False,19.75496554374695,double_bridge,strict
67,1383.1440450093367,1383.1440450093367,False,20.03884506225586,double_bridge,strict
68,1383.1440450093367,1383.1440450093367,False,20.30305504798889,double_bridge,strict
69,1383.1440450093367,1383.1440450093367,False,20.556979656219482,double_bridge,strict
70,1383.1440450093367,1383.1440450093367,False,20.800766229629517,double_bridge,strict
71,1383.1440450093367,1383.1440450093367,False,21.055052518844604,double_bridge,strict
72,1383.1440450093367,1383.1440450093367,False,21.323776245117188,double_bridge,strict
73,1383.1440450093367,1383.1440450093367,False,21.586612462997437,double_bridge,strict
74,1383.1440450093367,1383.1440450093367,False,21.835545778274536,double_bridge,strict
75,1383.1440450093367,1383.1440450093367,False,22.122447729110718,double_bridge,strict
76,1383.1440450093367,1383.1440450093367,False,22.361361980438232,double_bridge,strict
77,1383.1440450093367,1383.1440450093367,False,22.608819484710693,double_bridge,strict
78,1383.1440450093367,1383.1440450093367,False,22.850377321243286,double_bridge,strict
79,1383.1440450093367,1383.1440450093367,False,23.139116764068604,double_bridge,strict
80,1383.1440450093367,1383.1440450093367,False,23.389574766159058,double_bridge,strict
81,1383.1440450093367,1383.1440450093367,False,23.65810775756836,double_bridge,strict
82,1383.1440450093367,1383.1440450093367,False,23.917402982711792,double_bridge,strict
83,1383.1440450093367,1383.1440450093367,False,24.17078924179077,double_bridge,strict
84,1383.1440450093367,1383.1440450093367,False,24.473241329193115,double_bridge,strict
85,1383.1440450093367,1383.1440450093367,False,24.755131721496582,double_bridge,strict
86,1383.1440450093367,1383.1440450093367,False,25.020231246948242,double_bridge,strict
87,1383.1440450093367,1383.1440450093367,False,25.31183695793152,double_bridge,strict
88,1383.1440450093367,1383.1440450093367,False,25.565022706985474,double_bridge,strict
89,1383.1440450093367,1383.1440450093367,False,25.81390404701233,double_bridge,strict
90,1383.1440450093367,1383.1440450093367,False,26.06872296333313,double_bridge,strict
91,1383.1440450093367,1383.1440450093367,False,26.33083486557007,double_bridge,strict
92,1383.1440450093367,1383.1440450093367,False,26.5755832195282,double_bridge,strict
93,1383.1440450093367,1383.1440450093367,False,26.822394132614136,double_bridge,strict
94,1383.1440450093367,1383.1440450093367,False,27.074326515197754,double_bridge,strict
95,1383.1440450093367,1383.1440450093367,False,27.345980882644653,double_bridge,strict
96,1383.1440450093367,1383.1440450093367,False,27.626195430755615,double_bridge,strict
97,1383.1440450093367,1383.1440450093367,False,27.874212741851807,double_bridge,strict
98,1383.1440450093367,1383.1440450093367,False,28.13744282722473,double_bridge,strict
99,1383.1440450093367,1383.1440450093367,False,28.400504112243652,double_bridge,strict
100,1383.1440450093367,1383.1440450093367,False,28.660479307174683,double_bridge,strict
101,1383.1440450093367,1383.1440450093367,False,28.917836666107178,double_bridge,strict
102,1383.1440450093367,1383.1440450093367,False,29.225746870040894,double_bridge,strict
103,1383.1440450093367,1383.1440450093367,False,29.543052911758423,double_bridge,strict
104,1383.1440450093367,1383.1440450093367,False,30.024603366851807,double_bridge,strict
105,1383.1440450093367,1383.1440450093367,False,30.28182864189148,double_bridge,strict
106,1383.1440450093367,1383.1440450093367,False,30.559211492538452,double_bridge,strict
107,1383.1440450093367,1383.1440450093367,False,30.82743811607361,double_bridge,strict
108,1383.1440450093367,1383.1440450093367,False,31.105787992477417,double_bridge,strict
109,1383.1440450093367,1383.1440450093367,False,31.355639219284058,double_bridge,strict
110,1383.1440450093367,1383.1440450093367,False,31.60469126701355,double_bridge,strict
111,1383.1440450093367,1383.1440450093367,False,31.86068820953369,double_bridge,strict
112,1383.1440450093367,1383.1440450093367,False,32.146469831466675,double_bridge,strict
113,1383.1440450093367,1383.1440450093367,False,32.397540807724,double_bridge,strict
114,1383.1440450093367,1383.1440450093367,False,32.68806195259094,double_bridge,strict
115,1383.1440450093367,1383.1440450093367,False,32.95604205131531,double_bridge,strict
116,1383.1440450093367,1383.1440450093367,False,33.21507740020752,double_bridge,strict
